manager_id,mgr_date_from,mgr_date_to,mgr_role
CookeBert1882,1921-08-27,1935-04-30,Secretary/Manager
CarrJack18921126,1935-07-02,1936-10-22,Manager
,1936-10-23,1936-11-30,Manager
KnowlesJim1903,1936-12-01,1939-01-18,Secretary/Manager
MortonJimmy18910922,1939-01-18,1942-02-28,Manager
RiddingBill19110404,1942-03-02,1946-07-19,Manager
JonesTommy19091206,1946-08-10,1946-09-15,Manager
BlackburnErnie18920423,1946-09-16,1955-12-12,Secretary/Manager
KellyNoel19211228,1955-12-13,1956-11-12,Manager
BlackburnErnie18920423,1956-11-12,1957-10-04,Manager
FarrellPeter19220822,1957-10-05,1960-12-12,Manager
,1960-12-13,1961-01-06,Manager
GalbraithWalter19180526,1961-01-07,1961-12-08,Manager
,1961-12-09,1961-12-13,Manager
RussellDave19140407,1961-12-14,1969-12-22,Manager
WrightJackie19260811,1969-12-23,1972-04-09,Manager
YeatsRon19371115,1972-04-10,1975-04-03,Manager
KingJohn19380415,1975-04-04,1980-09-05,Manager
,1980-09-06,1980-09-30,Manager
HamiltonBryan19461221,1980-10-01,1985-02-07,Manager
MathiasRay19461213,1985-02-08,1985-07-07,Caretaker
WorthingtonFrank19481123,1985-07-08,1987-02-12,Manager
MooreRonnie19530129,1987-02-13,1987-04-12,Manager
KingJohn19380415,1987-04-13,1996-04-12,Manager
AldridgeJohn19580918,1996-04-12,2001-03-17,Manager
MathiasRay19461213,2001-03-18,2001-05-07,Caretaker
SheedyKevin19591021,2001-03-18,2001-05-07,Caretaker
WatsonDave19611120,2001-05-20,2002-08-01,Manager
MathiasRay19461213,2002-08-01,2002-09-06,Caretaker
MathiasRay19461213,2002-09-06,2003-09-29,Manager
McMahonJohn19640519,2003-09-29,2003-10-12,Caretaker
LittleBrian19531125,2003-10-12,2006-05-05,Manager
McMahonJohn19640519,2006-05-05,2006-05-07,Caretaker
McAteerJason19710618,2006-05-05,2006-05-07,Caretaker
MooreRonnie19530129,2006-06-09,2009-06-05,Manager
BarnesJohn19631107,2009-06-14,2009-10-09,Manager
ParryLes19571127,2009-10-09,2012-03-04,Manager
MooreRonnie19530129,2012-03-04,2014-04-08,Manager
McMahonJohn19640519,2014-04-08,2014-05-27,Caretaker
EdwardsRob19730101,2014-05-27,2014-10-13,Manager
AdamsMickey19611108,2014-10-16,2015-04-19,Manager
RogersAlan19770103,2015-04-23,2015-05-05,Caretaker
BrabinGary19701209,2015-05-05,2016-09-18,Manager
CardenPaul19790329,2016-09-18,2016-10-07,Caretaker
MellonMicky19720318,2016-10-07,2020-07-18,Manager
JacksonMichael19731204,2020-07-18,2020-11-01,Manager
DawesIan19840316,2020-11-01,2020-11-22,Caretaker
HillKeith19690517,2020-11-22,2021-05-17,Manager
DawesIan19840316,2021-05-17,2021-05-24,Manager
MellonMicky19720318,2021-06-01,2023-03-19,Manager
DawesIan19840316,2023-03-20,2023-05-04,Caretaker
DawesIan19840316,2023-05-04,2023-09-10,Manager
AdkinsNigel19650311,2023-09-10,2023-11-02,Caretaker
AdkinsNigel19650311,2023-11-02,2026-06-30,Manager
